Colleen,Joyner,commodo.auctor@elementumat.net,"Ap #697-1279 Nullam Road",30,Resident,4,F
Yoshio,Silva,fames@Cumsociisnatoque.co.uk,"Ap #327-6404 Dui St.",19,Resident,4,M
Rudyard,Duke,congue@consequatpurus.edu,"Ap #349-4938 Mauris. St.",25,Resident,8,M
Marvin,Ayala,Nulla.semper.tellus@laciniavitaesodales.co.uk,"876-1373 Luctus Av.",61,Non-Resident,16,M
Leah,Hyde,placerat@CurabiturmassaVestibulum.ca,"8691 Praesent Rd.",55,Resident,16,F
Uriel,Dixon,a.nunc.In@magna.ca,"667-571 Scelerisque Av.",70,Non-Resident,8,M
Octavius,King,ultricies@utnullaCras.com,"820 Aenean Street",19,Non-Resident,15,M
Ethan,Beach,ridiculus@idrisus.com,"933-5611 Amet Ave",51,Non-Resident,3,M
Robin,Merritt,aliquet@variusultricesmauris.ca,"581-9065 In Ave",63,Resident,2,M
Kenneth,Gay,fringilla.est.Mauris@liberonecligula.co.uk,"4093 Arcu. Av.",34,Non-Resident,12,M
Jolie,Holcomb,porttitor@metus.ca,"870-9936 Et Avenue",45,Resident,12,M
Ursula,Massey,laoreet.ipsum.Curabitur@ut.com,"235-6101 Lectus. Avenue",20,Resident,6,M
Phoebe,Farmer,cursus@venenatisvel.co.uk,"6904 Libero. Rd.",21,Non-Resident,3,F
Ursa,Bauer,magna@mauris.co.uk,"Ap #813-801 Urna. Road",29,Non-Resident,3,F
Genevieve,Estrada,lorem.ut.aliquam@Vivamuseuismodurna.net,"Ap #382-3200 Aliquam Rd.",53,Resident,15,F
Salvador,French,malesuada.ut@dignissim.net,"2581 Proin Road",40,Resident,20,M
Macy,Morrison,dis.parturient@quistristiqueac.co.uk,"1894 Nisi St.",19,Non-Resident,12,F
Aiko,Murray,Morbi@justo.org,"Ap #229-1454 Et Road",58,Resident,12,F
Herman,Barlow,Donec@pedeac.com,"136-4969 Vitae St.",28,Non-Resident,8,M
Reed,Ruiz,vel.venenatis@dictum.net,"9510 Nisi Street",54,Non-Resident,16,M
Xandra,Mason,iaculis.odio@molestieintempus.org,"7805 Urna. St.",66,Non-Resident,11,F
Kuame,Page,tincidunt.orci.quis@ullamcorperDuiscursus.co.uk,"640-1991 Dolor Av.",25,Non-Resident,19,M
Ora,Bird,nulla.magna.malesuada@elit.net,"Ap #106-8250 Integer Road",53,Non-Resident,2,F
Laura,Russo,sollicitudin.a.malesuada@sit.edu,"257-4349 Ante Rd.",26,Non-Resident,2,F
Graham,Bryan,Morbi.sit.amet@non.edu,"Ap #973-9221 Sem Avenue",57,Resident,19,M
Ali,Benton,at.lacus.Quisque@sem.co.uk,"792-8654 Libero Avenue",48,Non-Resident,5,M
Naida,Hanson,feugiat@egestasFuscealiquet.edu,"135-1477 Malesuada Avenue",26,Non-Resident,20,F
Ian,Oneal,turpis@Phasellusnulla.org,"Ap #136-9208 Quisque Avenue",45,Non-Resident,4,M
Aurelia,Alford,ipsum.non.arcu@volutpatnunc.org,"227-2359 Orci St.",53,Resident,17,F
Ria,Velazquez,Ut@blandit.ca,"225-7698 Ut Street",44,Resident,1,F
